ID_x,HWSD2_SMU_ID,NSC_MU_SOURCE1,NSC_MU_SOURCE2,WISE30s_SMU_ID_x,HWSD1_SMU_ID_x,COVERAGE_x,SEQUENCE,SHARE_x,NSC,WRB_PHASES_x,WRB4_x,WRB2_x,FAO90_x,ROOT_DEPTH_x,PHASE1_x,PHASE2_x,ROOTS_x,IL_x,SWR,DRAINAGE_x,AWC_x,ADD_PROP_x,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_x,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,ID_y,WISE30s_SMU_ID_y,HWSD1_SMU_ID_y,COVERAGE_y,SHARE_y,WRB4_y,WRB_PHASES_y,WRB2_y,WRB2_CODE,FAO90_y,KOPPEN,TEXTURE_USDA_y,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_y,ROOT_DEPTH_y,AWC_y,PHASE1_y,PHASE2_y,ROOTS_y,IL_y,ADD_PROP_y
44292,31953,,,WD20031953,31953,3,2,40,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,40295,WD20031953,31953,3,60,CLlv,CLlv,CL,7,CLl,B,11.0,1.7000000476837158,1.5399999618530273,MW,1,153,,,,,0.0
44293,31940,,,WD20031940,31940,3,1,60,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44293,WD20031940,31940,3,60,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44294,31860,,,WD20031860,31860,3,1,60,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44294,WD20031860,31860,3,60,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44296,31909,,,WD20031909,31909,3,1,50,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44296,WD20031909,31909,3,50,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44297,31938,,,WD20031938,31938,3,1,50,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44297,WD20031938,31938,3,50,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44298,31861,,,WD20031861,31861,3,3,20,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,150637,WD20031861,31861,3,60,LPrz,LPrz,LP,18,LPk,B,9.0,1.7799999713897705,1.2899999618530273,I,3,27,,,,,0.0
44299,31844,,,WD20031844,31844,3,2,40,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,42001,WD20031844,31844,3,60,CLpt,CLpt,CL,7,CLp,B,11.0,1.6699999570846558,1.440000057220459,MW,1,101,,,,,0.0
44300,31862,,,WD20031862,31862,3,3,30,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,196855,WD20031862,31862,3,40,LVcc,LVcc,LV,19,LVk,B,11.0,1.6699999570846558,1.4700000286102295,MW,1,124,,,,,0.0
44301,31936,,,WD20031936,31936,3,1,60,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44301,WD20031936,31936,3,60,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44302,31863,,,WD20031863,31863,3,1,70,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44302,WD20031863,31863,3,70,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44303,31934,,,WD20031934,31934,3,1,60,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44303,WD20031934,31934,3,60,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
44304,31927,,,WD20031927,31927,3,1,80,,CMca,CMca,CM,CMc,1.0,,,,,,MW,173.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.4600000381469727,1.7100000381469727,0.7269999980926514,8.199999809265137,1.0099999904632568,9.0,16,72,36.0,36.0,100,0,3,8.399999618530273,2.200000047683716,1,44304,WD20031927,31927,3,80,CMca,CMca,CM,8,CMc,B,9.0,1.7100000381469727,1.4600000381469727,MW,1,173,,,,,0.0
