ID_x,HWSD2_SMU_ID,NSC_MU_SOURCE1,NSC_MU_SOURCE2,WISE30s_SMU_ID_x,HWSD1_SMU_ID_x,COVERAGE_x,SEQUENCE,SHARE_x,NSC,WRB_PHASES_x,WRB4_x,WRB2_x,FAO90_x,ROOT_DEPTH_x,PHASE1_x,PHASE2_x,ROOTS_x,IL_x,SWR,DRAINAGE_x,AWC_x,ADD_PROP_x,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_x,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,ID_y,WISE30s_SMU_ID_y,HWSD1_SMU_ID_y,COVERAGE_y,SHARE_y,WRB4_y,WRB_PHASES_y,WRB2_y,WRB2_CODE,FAO90_y,KOPPEN,TEXTURE_USDA_y,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_y,ROOT_DEPTH_y,AWC_y,PHASE1_y,PHASE2_y,ROOTS_y,IL_y,ADD_PROP_y
20318,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D4,60,80,21,88,5,7,12.0,C,1.600000023841858,1.3899999856948853,0.14299999177455902,8.399999618530273,0.20999999344348907,10.0,4,44,19.0,19.0,98,0,3,4.699999809265137,1.0,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
20455,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D5,80,100,24,87,5,8,12.0,C,1.600000023841858,1.4299999475479126,0.14800000190734863,8.399999618530273,0.20999999344348907,10.0,4,45,21.0,21.0,98,0,3,4.599999904632568,1.2999999523162842,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
20461,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D5,80,100,24,87,5,8,12.0,C,1.600000023841858,1.4299999475479126,0.14800000190734863,8.399999618530273,0.20999999344348907,10.0,4,45,21.0,21.0,98,0,3,4.599999904632568,1.2999999523162842,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
20598,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D6,100,150,18,86,6,8,12.0,C,1.5399999618530273,1.4299999475479126,0.12000000476837158,8.5,0.20999999344348907,7.0,4,52,24.0,24.0,99,0,6,5.300000190734863,0.20000000298023224,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
20604,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D6,100,150,18,86,6,8,12.0,C,1.5399999618530273,1.4299999475479126,0.12000000476837158,8.5,0.20999999344348907,7.0,4,52,24.0,24.0,99,0,6,5.300000190734863,0.20000000298023224,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
20741,32050,,,WD20032050,32050,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D7,150,200,22,83,7,10,12.0,C,1.5499999523162842,1.5099999904632568,0.14100000262260437,8.300000190734863,0.10000000149011612,7.0,4,36,5.0,5.0,99,0,5,6.400000095367432,0.20000000298023224,0,141633,WD20032050,32050,3,50,LPeu,LPeu,LP,18,LPe,B,11.0,1.649999976158142,1.3200000524520874,I,3,29,,,,,0.0
20747,31996,,,WD20031996,31996,3,2,30,,ARca,ARca,AR,ARc,,,,,,,SE,,0.0,D7,150,200,22,83,7,10,12.0,C,1.5499999523162842,1.5099999904632568,0.14100000262260437,8.300000190734863,0.10000000149011612,7.0,4,36,5.0,5.0,99,0,5,6.400000095367432,0.20000000298023224,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
22297,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,1.0,,,,,,SE,82.0,0.0,D1,0,20,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
22308,31999,,,WD20031999,31999,3,1,100,,ARkk,AR,AR,ARh,1.0,1.0,0.0,,,,SE,82.0,0.0,D1,0,20,6,90,5,5,12.0,C,1.4800000190734863,1.2799999713897705,0.2590000033378601,6.699999809265137,0.3199999928474426,9.0,4,61,4.0,4.0,89,0,3,0.0,0.10000000149011612,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
22634,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D2,20,40,7,91,4,5,12.0,C,1.5399999618530273,1.2799999713897705,0.17499999701976776,6.599999904632568,0.3100000023841858,8.0,3,59,5.0,4.0,90,0,3,0.0,0.10000000149011612,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
22645,31999,,,WD20031999,31999,3,1,100,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D2,20,40,7,91,4,5,12.0,C,1.5399999618530273,1.2799999713897705,0.17499999701976776,6.599999904632568,0.3100000023841858,8.0,3,59,5.0,4.0,90,0,3,0.0,0.10000000149011612,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
22971,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D3,40,60,6,90,5,5,12.0,C,1.5700000524520874,1.2799999713897705,0.15000000596046448,6.599999904632568,0.23000000417232513,7.0,3,56,5.0,5.0,93,0,4,0.0,0.30000001192092896,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
22982,31999,,,WD20031999,31999,3,1,100,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D3,40,60,6,90,5,5,12.0,C,1.5700000524520874,1.2799999713897705,0.15000000596046448,6.599999904632568,0.23000000417232513,7.0,3,56,5.0,5.0,93,0,4,0.0,0.30000001192092896,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
23308,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D4,60,80,11,91,4,5,12.0,C,1.5499999523162842,1.2799999713897705,0.1120000034570694,6.699999809265137,0.2199999988079071,9.0,3,55,5.0,5.0,89,0,4,0.0,1.0,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
23319,31999,,,WD20031999,31999,3,1,100,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D4,60,80,11,91,4,5,12.0,C,1.5499999523162842,1.2799999713897705,0.1120000034570694,6.699999809265137,0.2199999988079071,9.0,3,55,5.0,5.0,89,0,4,0.0,1.0,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
23645,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D5,80,100,12,90,5,5,12.0,C,1.5299999713897705,1.2799999713897705,0.11100000143051147,6.699999809265137,0.2199999988079071,10.0,3,60,5.0,5.0,93,0,3,0.0,1.2999999523162842,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
23656,31999,,,WD20031999,31999,3,1,100,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D5,80,100,12,90,5,5,12.0,C,1.5299999713897705,1.2799999713897705,0.11100000143051147,6.699999809265137,0.2199999988079071,10.0,3,60,5.0,5.0,93,0,3,0.0,1.2999999523162842,0,22308,WD20031999,31999,3,100,AR,ARkk,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,1.0,0.0,,,0.0
23982,31996,,,WD20031996,31996,3,1,70,,AR,AR,AR,ARh,,,,,,,SE,,0.0,D6,100,150,11,90,5,5,12.0,C,1.5199999809265137,1.2799999713897705,0.10399999469518661,6.699999809265137,0.17000000178813934,11.0,3,56,6.0,4.0,97,0,2,0.0,0.10000000149011612,0,22297,WD20031996,31996,3,70,AR,AR,AR,4,ARh,B,12.0,1.2799999713897705,1.4800000190734863,SE,1,82,,,,,0.0
